rank,feature_id,token,all_mean_base,all_mean_chat,all_mean_diff,link,explanation,explanation_score
1,11904,asst,0.0055781248956918,3.741617202758789,3.736039161682129,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/11904,Test explanation for feature 11904,0.85
2,97377,asst,0.0061562499031424,3.0233280658721924,3.017171859741211,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/97377,Test explanation for feature 97377,0.92
1,92801,newline,6.986359596252441,9.85893726348877,2.872577667236328,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/92801,Test explanation for feature 92801,0.78
1,112879,endheader,0.0,2.262328147888184,2.262328147888184,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/112879,,
2,96419,newline,3.82421875,6.014953136444092,2.190734386444092,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96419,,
3,84495,asst,0.0,2.098703145980835,2.098703145980835,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84495,,
2,111573,endheader,0.0,1.9195624589920044,1.9195624589920044,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/111573,,
3,29865,endheader,0.0,1.7879687547683716,1.7879687547683716,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/29865,,
3,84495,newline,0.0,1.5928906202316284,1.5928906202316284,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84495,,
4,120215,endheader,0.0050625000149011,1.3803437948226929,1.3752813339233398,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120215,,
5,30159,endheader,2.922039031982422,4.189523220062256,1.267484188079834,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/30159,,
6,31432,endheader,0.0,1.2235312461853027,1.2235312461853027,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31432,,
4,30159,newline,7.847718715667725,8.982250213623047,1.1345314979553225,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/30159,,
7,92801,endheader,6.950031280517578,8.061327934265137,1.1112966537475586,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/92801,Test explanation for feature 92801,0.78
5,31432,newline,0.0454374998807907,1.14662504196167,1.1011875867843628,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31432,,
4,20356,asst,0.0,1.06431245803833,1.06431245803833,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/20356,,
6,111788,newline,0.0,0.9792187213897704,0.9792187213897704,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/111788,,
5,34433,asst,0.0683906227350235,0.9887499809265136,0.9203593730926514,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/34433,,
6,93478,asst,0.0047187497839331,0.9249452948570251,0.9202265739440918,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/93478,,
8,74684,endheader,0.0,0.904812514781952,0.904812514781952,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/74684,,
7,120215,asst,1.358484387397766,2.241570234298706,0.8830858469009399,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120215,,
9,84495,endheader,0.0,0.8632500171661377,0.8632500171661377,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84495,,
10,97377,endheader,0.0061562499031424,0.8548593521118164,0.8487030863761902,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/97377,Test explanation for feature 97377,0.92
